Observation ID,Date,Time,Troop,Observers,Location,Latitude,Longitude,Rain Type,Temperature,Cloud Cover,Wind,Den Type,Land Use,Wilderness,Park Habitat,Count,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant stage,Identifiable Individuals,Number sick,Confidence,Sick/Complete count (Y/N),Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,# Feces,Urine,Anal Gland Secr.,Group extinction,Mix,Split,#Dispersal M,#Disperse F,Troop Name,See troop notes,AM/PM,Time up,Not seen,Comments
FOR051018,5-Oct-18,8:08,FOR,LS,Resident's yard across from Kasane Reservoir Facility,-17.80181,25.15698,No Rain,,0,Very,,Residential,Buildings,,7,Yes,,,,,,BM44717,0,High,NA,NA,NA,1,NA,No,,,,,,,,,,,,,,"Foraging and on the move. 2 RC's seen. Male with fluffy tail, appears to be short, perhaps part of it is missing?"
PLAT051018,5-Oct-18,8:25,PLAT,LS,Resident's yard on Tshephe Cresent,-17.80073,25.5825,No Rain,,0,Very,,Residential,Buildings,,8,Yes,,,,,,"BM53618, BM45917",0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,On the move and 2 RC's seen.
CCH051018,5-Oct-18,16:48,CCH,LS,In the bush next to CCH,-17.82873,25.13842,No Rain,,0,No,,Undeveloped,Pristine,Shrubland thicket,12,No,,,,,,,ND,NA,NA,NA,NA,ND,NA,No,,,,,,,,,,,,,,On the move.
PAN051018,5-Oct-18,17:20,PAN,LS,In the bush across from Travel Lodge,-17.81409,25.15323,No Rain,,0,No,,Undeveloped,Pristine,Shrubland thicket,"Not seen, faint signal",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Faint frequency heard along Airport Ave. 
KUBU081018,8-Oct-18,8:10,KUBU,LS,In front of Kazungula Guest House,-17.79547,25.23535,No Rain,,0,Slight,,Residential,Buildings,,22,Yes,,1,,,,,0,High,NA,NA,NA,0,NA,Yes,6,,,,,,,,,,,,,On the move into Bakwena Lodge. Feces collected at den site KWA-D5.
KWA081018,8-Oct-18,8:39,KWA,LS,In the bush between Kazungula main road and EWB,-17.79831,25.22077,No Rain,,0,Slight,,Undeveloped,Slightly Degraded ,Shrubland thicket,20,Yes,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,On the move.
TBE081018,8-Oct-18,8:57,TBE,LS,Dumpster in construction site at Thebe,-17.78553,25.18077,No Rain,,0,Slight,Shipping container,Lodge,Buildings,,20,No,,3,,,,"BM52318, BM52618, BM52518 ",0,High,NA,NA,NA,1,NA,Yes,4,,,,,,,,,,,,,Foraging and denning at den sites TBE-D1 and D2.
MOW081018,8-Oct-18,17:22,MOW,LS,Trash area at Mowana,-17.78238,25.1593,No Rain,,0,Slight,Scrap Heap,Lodge,Buildings,,16,No,,,,,,"BM41017, BM53318, BM45417",0,High,NA,NA,NA,1,NA,No,,,,,,,,,,,,,,Denning at MOW-D5 and 2 RC's seen. BM36816 with white band seen with face wound.
ODH081018,8-Oct-18,17:54,ODH,LS,"Resident's yard south of President's Ave, across from Old House",-17.79315,25.1572,No Rain,,0,No,Scrap Heap,Residential,Buildings,,9,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Denning at ODH-D3
CSL081018,8-Oct-18,18:15,CSL,LS,Water tank in staff area at CSL across from guest houses,-17.80744,25.14643,No Rain,,0,No,Water tank,Lodge,Buildings,,12,No,,,,,,,ND,NA,NA,NA,NA,ND,NA,No,,,,,,,,,,,,,,Denning at CSL-D7 and then ran out.
FOR091018,9-Oct-18,8:10,FOR,LS,Resident's yard west of Kasane Reservoir Facility,-17.80131,25.1568,No Rain,,0,Slight,,Residential,Buildings,,11,Yes,,1,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,1,,,,"On the move, RC seen. Possibily PLAT individuals joined with FOR. No PLAT frequency heard."
PLAT091018,9-Oct-18,8:31,PLAT,LS,Scrap heap on the corner of Leeba Rd,-17.7994,25.16198,No Rain,,0,Slight,Scrap Heap,Residential,Buildings,,7,No,,,,,,BM53618,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,1,,,,"On the move, ran into den site PLAT-D4. RC seen."
WDL091018,9-Oct-18,9:05,WDL,LS,Not found,Not found,,No Rain,,0,Slight,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"No frequency heard, troop not found. Searched from Mowana along President Ave to Shoprite. Up along road next to landfill and then turned onto Plateau Rd and searched on Phuti Cresent towards Travelodge."
PAN091018,9-Oct-18,9:20,PAN,LS,Shipping containers next to Pangolin,-17.81103,25.15472,No Rain,,0,Very,Shipping container and scrap heap,Lodge,Buildings,,10,No,,,,,,BM54718,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Ran out of den sites PAN-D1 and PAN-D2 and into bush.
CCH091018,9-Oct-18,17:12,CCH,LS,Bush northeast of CCH and coordinates,-17.82788,25.13898,No Rain,,0,No,,Undeveloped,Slightly Degraded ,Shrubland thicket,6,No,,,,,,BM56018,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Foraging and newly collared RC seen.
MOW101018,10-Oct-18,8:15,MOW,LS,In the bush surrounding Mowana,-17.78322,25.16583,No Rain,,0,No,,Lodge/Undeveloped,Cultivated (lawn)/slightly degraded,Gardens/lawn and Shrubland thicket,"Not seen, faint signal",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Faint frequency heard on road leading to Mowana, troop unseen in bush."
KWA101018,10-Oct-18,8:38,KWA,LS,Trash area at KWA,-17.79819,25.218,No Rain,,0,No,Hole in ground,Lodge,Buildings,,24,Yes,,2,,,,Indiv with tip of tail missing,0,High,NA,NA,NA,0,NA,Yes,12,,,,,,,,,1,,,,Foraging. About 10 individuals from KWA appeared to be trying to remove another mongoose from their den at KWA-D
PAN101018,10-Oct-18,9:53,PAN,LS,Blue shipping container next to Pangolin ,-17.81146,25.15475,No Rain,,0,Slight,Shipping container,Residential,Buildings,,No signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,Yes,2,,,,,,,,,,,,,Feces collected only at PAN-D3
KUBU101018,10-Oct-18,16:39,KUBU,LS,Not found,,,No Rain,,0,No,,,,,Not found,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Searched from Kazungula Residence complex near Bakwena Lodge to Kubu Lodge.
TBE101018,10-Oct-18,16:56,TBE,LS,Woodpile at Thebe next to staff parking spaces,-17.78611,25.18106,No Rain,,0,No,Scrap Heap,Lodge,Buildings,,1,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Rest of troop denning at TBE-D3
ODH101018,10-Oct-18,17:37,ODH,LS,Resident's yard off of President's Ave across from Old House,-17.79219,25.15775,No Rain,,0,No,,Residential,Buildings,,"Not seen, in den",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen denning in gated resident's yard.
CSL101018,10-Oct-18,17:56,CSL,LS,Culvert/sewer at the corner of Airport Ave and President Ave across from FNB,-17.8057,25.14805,No Rain,,0,No,Culvert,Urban,Buildings,,"Not seen, in den",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen denning in culvert/sewer under road. Den site: CSL-D8
FOR111018,11-Oct-18,8:10,FOR,LS,In the bush near soccer field next to dirt road that leads from CARACAL to Plateau ,-17.80258,25.15461,No Rain,,0,Slight,,Undeveloped,Slightly Degraded ,Shrubland thicket,3,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Rest of troop unseen foraging in bush.
MOW111018,11-Oct-18,8:35,MOW,LS,Tennis court at Mowana,-17.7837,25.1588,No Rain,,0,No,,Lodge,Buildings,,27,No,,1,,,,"BM53118, BM56118",1,High,Y,4,"Very emaciated, back hips protruding, and lagging behind troop.",0,NA,Yes,3,,,,,,,,,,,,,Troop is chasing one another and foraging. RC seen with right orange tag.
PAN111018,11-Oct-18,9:35,PAN,LS,Blue shipping container on the side of road next to Pangolin ,-17.8115,25.15474,No Rain,,0,Slight,Shipping container,Residential,Buildings,,,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,Yes,7,,,,,,,,,,,,,"Feces collected only at PAN-D3. No frequency heard from troop, searched from Izwia Travel Agency to Pangolin and then to bush along Airport Ave across from Travelodge."
CCH111018,11-Oct-18,9:57,CCH,LS,"Bush surrounding CCH, northeast of coordinates",-17.82656,25.13931,No Rain,,0,Slight,,Undeveloped,Pristine,,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen in bush.
PLAT111018,11-Oct-18,17:06,PLAT,LS,Inside Plateau Primary School complex,-17.79976,25.16158,No Rain,,0,No,,Urban,Buildings,,"Not seen, faint signal",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Troop unseen, faint frequency coming from within Plateau Primary School"
WDL111018,11-Oct-18,17:24,WDL,LS,Not found,,,,,0,No,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Searched from Plateau Primary School along Sedudu Rd to Liya Guest House, then along Plateau Rd and Phuti Cresent back to Plateau Primary School"
CSL121018,12-Oct-18,8:00,CSL,LS,In the bush outside of Student Village fence,-17.80403,25.15077,No Rain,,0,No,,Undeveloped/Residential,Heavily degraded,Open shrubland,10,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"On the move and foraging in the bush, RC seen."
FOR121018,12-Oct-18,8:15,FOR,LS,"In the bush next to the soccer field on the dirt road that leads to CARACAL from Plateau, east of coordinates",-17.80265,25.15459,No Rain,,0,No,,Undeveloped,Slightly Degraded ,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen in bush.
KWA121018,12-Oct-18,8:40,KWA,LS,"In the bush surrounding main road that leads to Kazungula from Kasane across from Kwalape, east of coordinates",-17.79851,25.22103,No Rain,,0,No,,Undeveloped,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen in bush.
KUBU121018,12-Oct-18,9:04,KUBU,LS,Inside Croc farm property moving in direction of River View Lodge,-17.79578,25.2323,No Rain,,0,No,,Residential,Buildings,,30,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"On the move, RC seen. "
TBE121018,12-Oct-18,9:30,TBE,LS,"In the bush behind Department of Supplies across from Sefelana, south of coordinates",-17.78467,25.17349,No Rain,,0,No,,Undeveloped,Slightly Degraded ,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Troop unseen, in bush."
ODH121018,12-Oct-18,17:23,ODH,LS,Resident's yard off of President's Ave across from Old House,-17.79318,25.15721,No Rain,,0,No,Scrap Heap,Residential,Buildings,,7,No,,1,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Denning at ODH-D3.
MOW121018,12-Oct-18,17:38,MOW,LS,Woodpile next to trash area at Mowana,-17.78242,25.15939,No Rain,,0,Slight,Scrap Heap,Lodge,Buildings,,1,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"Rest of troop in den, denning at MOW-D5"
FOR151018,15-Oct-18,8:15,FOR,LS,Resident's yard on Tshephe Cresent,-17.80017,25.15674,No Rain,,100,No,,Residential,Buildings,,10,Yes,,2,,,,BM44717,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Foragaing and on the move. RC seen.
PLAT151018,15-Oct-18,8:39,PLAT,LS,Bush next to playground across from Chiller's Bar,-17.79945,25.15788,No Rain,,100,Slight,Scrap Heap,Undeveloped,Heavily degraded,Shrubland thicket,7,Yes,,2,,,,BM44517,0,High,NA,NA,NA,0,NA,Yes,6,,,,,,,1,,1,,,,Foraging and on the move. Retreated into den site PLAT-D5 where feces where collected. SEF individual BM44517 found with PLAT troop. 
WDL151018,15-Oct-18,9:10,WDL,LS,Not found,,,,,100,Slight,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,"Searched from Kasane Reservoir Facility to Liya Guest House along Sedudu Rd, also serached Lehututu Cresent, Phuti Cresent, and Plateau Rd"
CCH151018,15-Oct-18,9:22,CCH,LS,"In the bush surrounding CCH, southeast of coordinates ",-17.82294,25.14135,No Rain,,95,Slight,,Undeveloped,Pristine,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Troop unseen in bush.
CGL151018,15-Oct-18,16:57,CGL,LS,Pool at CGL and side lawn next to room 203,-17.8407,25.07592,No Rain,,100,No,Rocks,Lodge,Buildings/Cultivated (lawn),,20,No,,3,,,,,5,High,N,"1, 3, 3, 1, 4","Juv with slighly swollen, dark nose. Indiv with swollen testicles and limping left hind foot. Indiv with swollen testicles and skinny. Juv with severely swollen testicles and swollen nose.",1,NA,Yes,1,,,,,,,,,,,,,"One individual denning at den site CGL-D1. Rest of troop foraging and on the move towards staff area. RC seen, looked skinny. "
CSL161018,16-Oct-18,8:20,CSL,LS,In the bush between CSL campsites and BDF,-17.80934,25.14545,No Rain,,0,No,,Undeveloped,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,"BM56218, BM56318, BM56418, BM41517, BM56518",NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
MOW161018,16-Oct-18,8:50,MOW,LS,On the edge of the Mowana golf course in bush thicket,-17.78384,25.16384,No Rain,,0,Slight,,Lodge,Cultivated (lawn)/slightly degraded,Open shrubland,35,No,,,,,,,0,High,NA,NA,NA,0,NA,,,,,,,,,,,,,,,"Unable to identify sick/injured individuals, troop is hard to see in bish thicket."
ODH161018,16-Oct-18,9:13,ODH,LS,Not found,,,No Rain,,0,No,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,"Searched from CSL to Mowana along President Ave, including passed Builder's World and Chiloto Gues House on residential side roads across from Old House. Heard very faint 2 frequency beeps at the corner of President Ave and Kgosing Rd (across from Old House)."
KUBU161018,16-Oct-18,16:35,KUBU,"LS, LC",Inside croc farm property,-17.79659,25.23133,No Rain,,30,Slight,,Residential,Slightly Degraded ,Open shrubland,5,No,,1,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"Foraging, troop seen from road, no frequency heard."
KWA161018,16-Oct-18,16:46,KWA,"LS, LC","In the bush next to Kwalape, northeast of coordinates",-17.79925,25.22099,No Rain,,30,Slight,,Undeveloped,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
TBE161018,16-Oct-18,17:02,TBE,"LS, LC","In the bush between Thebe and Seboba, northeast of coordinates",-17.78576,25.18018,No Rain,,25,Slight,,Undeveloped,Heavily degraded,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush in between Thebe and Seboba, troop unseen."
CCH171018,17-Oct-18,8:15,CCH,LS,Faint frequency coming from bush southwest of CCH guest entrance and coordinate location,-17.82867,25.1376,No Rain,,0,Very,,Undeveloped,Pristine,Shrubland thicket,"Not seen, faint signal",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,Faint frequency coming from bush.
CSL171018,17-Oct-18,8:45,CSL,LS,Next to baobab tree in police station property,-17.8042,25.14922,No Rain,,0,Very,French drain ,Urban,Buildings,,15,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Foraging and returning to den. RC seen.
PAN171018,17-Oct-18,9:24,PAN,LS,Not found,,,No Rain,,0,Very,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,"No frequency heard, searched from CARACAL along Airport Ave to Travelodge and passed Pangolin and then to Liya Guest House."
WDL171018,17-Oct-18,16:40,WDL,LS,Not found,,,No Rain,,0,No,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,No frequency heard. Searched from CARACAL to Travelodge along Plateau Rd to Plateau Primary School
PLAT171018,17-Oct-18,16:49,PLAT,LS,Residential yard next to Plateau Primary School,-17.79944,25.16267,No Rain,,0,No,,Residential,Buildings,,6,No,,,,1,,"BM53618, BM45917",0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"On the move, three RC's seen. One RC was pregnant."
FOR171018,17-Oct-18,17:02,FOR,LS,Bush next to soccer field on dirt road that leads from CARACAL to Plateau ,-17.80356,25.5496,No Rain,,0,No,,Undeveloped,Heavily degraded,Open shrubland,7,Yes,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"On the move, RC seen with no tags."
CSL181018,18-Oct-18,8:45,CSL,LS,Front parking lot of CSL,-17.80641,25.14713,No Rain,,0,No,,Lodge,Buildings,,13,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,On the move. Troop split up into smaller groups around lodge? 
ODH181018,18-Oct-18,9:20,ODH,LS,Polling station register property in residential area across the street from Old House,-17.7937,25.15729,No Rain,,0,Slight,,Residential,Buildings,,4,No,,,,,,BM51318,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"On the move, RC seen."
MOW181018,18-Oct-18,9:44,MOW,LS,"In the bush on the edge of Mowana golf course, southeast of coordinates",-17.78366,25.16527,No Rain,,0,Slight,,Lodge,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen."
TBE181018,18-Oct-18,8:53,TBE,LS,"In the bush behind Department of Supplies across from Sefelana, south of coordinates",-17.78544,25.17354,No Rain,,0,Slight,,Undeveloped,Slightly Degraded ,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
KUBU181018,18-Oct-18,16:40,KUBU,LS,In Bakwena lodge near entrance,-17.79506,25.23478,No Rain,,50,No,,Lodge,Buildings,,30,No,,,,4,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Foraging. 
KWA181018,18-Oct-18,17:07,KWA,LS,"In the bush near EWB, north of coordinates",-17.79568,25.21959,No Rain,,50,No,,Undeveloped,Heavily degraded,Open shrubland,,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
CSL191018,19-Oct-18,7:00,CSL,LS,"Bush between student village and residential area, south of coordinates",-17.80461,25.1497,No Rain,,0,Slight,Hole in the tree and hole in the ground,Undeveloped,Heavily degraded,Open shrubland,19,No,,,,,,,0,High,NA,NA,NA,0,NA,Yes,6,,,,,,,,,,,,,"On the move, RC seen. Troop ran from den (CSL-D10) in the bush to den (CSL-D9) within Police Station. Feces collected at police station den site."
PAN191018,19-Oct-18,7:30,PAN,LS,"In the bush within State Forest Reserve, northeast of coordinates",-17.01344,25.15645,No Rain,,0,Slight,,Undeveloped,Pristine,Teak woodland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
WDL191018,19-Oct-18,8:05,WDL,LS,Not found,,,,,0,Slight,,,,,Not found,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,No frequency heard. Searched from Travelodge along Plateau Rd passed Mervel's guest house on Sedudu Rd to Kasane Reservoir Facility.
FOR191018,19-Oct-18,8:16,FOR,LS,"In the bush behind resident's yard near Kasane Reservoir Facility, west of coordinates",-17.80142,25.15512,No Rain,,0,Very,,Undeveloped,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen."
KUBU191018,19-Oct-18,9:30,KUBU,LS,Pool deck at Bakwena Lodge,-17.79519,25.23565,No Rain,,0,No,,Lodge,Cultivated (lawn),Gardens/lawn,Not found,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,Yes,2,,,,,,,,,,,,,Feces collected only at KUBU-D7
PLAT191018,19-Oct-18,17:17,PLAT,LS,Metal pile inside Kasane Reservoir Facility across from the Tshephe Cresent sign,-17.79519,25.23565,No Rain,,25,No,,Urban,Buildings,,"Not seen, in den",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Troop unseen, in den."
MOW210818,21-Oct-18,7:40,MOW,LS,Golf course near entrance of Mowana,-17.78349,25.16434,No Rain,,5,No,,Lodge,Cultivated (lawn),Gardens/lawn,20,Yes,,,,,,BM29215,1,High,Y,2,BM29215 with black band has swollen nose.,0,NA,No,,,,,,,,,,,,,,Foraging and on the move. 2 RC's seen. Indiv with black band has swollen nose.
TBE211018,21-Oct-18,7:50,TBE,LS,Construction site between Thebe and Puma petro station ,-17.78716,25.18266,No Rain,,10,Very,,Urban,Buildings,,5,Yes,,,,,,BM52418,1,High,Y,2,BM52418 appears skinny with thinning fur and bent tail,0,NA,No,,,,,,,,,,,,,,"On the move. RC seen, appears skinny. "
TBE221018,22-Oct-18,7:10,TBE,LS,Woodpile across from Thebe restaurant and next to staff parking,-17.78597,25.18101,No Rain,,35,Very,Building material,Lodge,Buildings,,9,No,,2,,,,BM52418,1,High,Y,2,BM52418 appears skinny with thinning fur and bent tail,0,NA,Yes,2,,,,,,,,,,,,,"Emerging from den site TBE-D3 where feces were collected. RC seen, looks skinny."
KWA221018,22-Oct-18,7:30,KWA,LS,Trash area at Kwalape,-17.79811,25.21799,No Rain,,45,Slight,,Lodge,Buildings,,20,No,,,,2,,BM49418,0,High,NA,NA,NA,0,NA,Yes,8,,,,,,,,,,,,,Foraging and returned to den site KWA-D3. RC with left pink tag (BM49418) pregnant with enlarged nipples. 2nd RC seen.
KUBU221018,22-Oct-18,7:47,KUBU,LS,Crossed the road from Bakwena Lodge to Sekema Guest House,-17.79555,25.2355,No Rain,,45,Slight,,Lodge,Buildings,,3,No,,,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,On the move. No frequency heard.
MOW221018,22-Oct-18,9:15,MOW,LS,Staff parking at Mowana,-17.78261,25.15915,No Rain,,50,Very,Termite mound and hole in the ground,Lodge,Buildings,,26,Yes,,7,,,,"BM29215, BM56118",1,High,Y,4,BM56118 very skinny.,0,NA,Yes,1,,,,,,,,,,,,,Foraging and emerging out of den site MOW-D6. 
ODH221018,22-Oct-18,17:19,ODH,LS,Moving from Ministry of Transport to Hospital,-17.80142,25.15024,No Rain,,35,Slight,Building,Urban,Buildings,,18,No,,5,,3,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,On the move and foraging. Retreated to den site ODH-D1. 
CSL221018,22-Oct-18,17:39,CSL,LS,Inside Police station property next to covered parking spaces,-17.80411,25.14889,No Rain,,35,Slight,,Urban,Buildings,,12,No,,3,,,,,0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,Foraging and lying. RC seen.
FOR231018,23-Oct-18,7:20,FOR,LS,In the bush near the graveyard behind CARACAL,-17.80479,25.15503,No Rain,,70,Very,,Undeveloped,Slightly Degraded ,Shrubland thicket,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
PAN231018,23-Oct-18,7:54,PAN,LS,Crossing the street into Forest Reserve near soccer field,-17.81076,25.15789,No Rain,,50,Very,,Undeveloped,Pristine,Teak woodland,9,No,,1,,,,BM54718,1,High,Y,3,"BM54718 is skinny with bald spot, swollen nose, and wet eyes.",0,NA,No,,,,,,,,,,,,,,On the move into bush.
CCH231018,23-Oct-18,8:25,CCH,LS,"In the bush surrounding CCH, northeast of coordinates",-17.8278,25.13899,No Rain,,35,Very,,Undeveloped,Pristine,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
PLAT231018,23-Oct-18,17:04,PLAT,LS,"Inside Plateau Primary School complex, southwest of coordinates",-17.79985,25.16414,No Rain,,45,Very,,Urban,Buildings,,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Troop unseen, frequency coming from gated property."
WDL231018,23-Oct-18,17:15,WDL,LS,Not found,,,,,80,Very,,,,,Not found,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"No frequency heard, searched from Plateau Primary School to Liya Guest House along Plateau road and along Sedudu Rd to Kasane Reservoir Facility."
FOR231018,23-Oct-18,17:33,FOR,LS,Resident's yard west of Kasane Reservoir Facility,-17.80242,25.15631,No Rain,,80,Very,Scrap Heap,Residential,Buildings,,Not found,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,Yes,2,,,,,,,,,,,,,Feces collected only at FOR-D6.
PAN231018,23-Oct-18,17:42,PAN,LS,Blue shipping container on the side of road next to Pangolin ,-17.81176,25.1546,No Rain,,75,Very,Shipping container,Residential,Buildings,,16,No,,,,1,,"BM55318, BM54718, BM57018",1,High,Y,3,"BM54718 is skinny with bald spot, swollen nose, and wet eyes.",1,Pregnant Ad with limping right front foot.,Yes,4,,,,,,,,,,,,,Retreating to den at PAN-D3. RC seen.
CGL241018,24-Oct-18,7:50,CGL,LS,Staff dining and quarters at CGL,-17.84274,25.07621,No Rain,,100,Slight,,Lodge,Buildings,,7,No,,4,,,,"BM41517, BM31816, BM56618, BM56718, BM56818, BM56918",0,High,NA,NA,NA,0,NA,Yes,4,,,,,,,,,,,,,Capturing. 2 RC's seen.
CCH251018,25-Oct-18,7:45,CCH,LS,"Bush surrounding CCH, northeast of coordinates",-17.82487,25.13952,No Rain,,95,Slight,,Undeveloped,Pristine,Open shrubland,Not seen but strong signal,No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency coming from bush, troop unseen"
ODH251018,25-Oct-18,8:30,ODH,LS,Not found,,,,,80,Slight,,,,,Not found,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,No frequency heard. Searched from police station passed the Ministry of Transport and Hospital and passed Builder's World and Old House.
MOW251018,25-Oct-18,8:42,MOW,LS,"In the bush between Mowana and Seboba, northeast of coordinates",-17.78336,25.16457,No Rain,,80,Slight,,Undeveloped,Slightly Degraded ,Shrubland thicket,"Not seen, faint signal",No,,,,,,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,,,,,"Frequency heard on road that leads to Mowana, frequency coming from bush."
TBE251018,25-Oct-18,8:57,TBE,LS,Construction site between Thebe and Puma petro station ,-17.78692,25.18194,No Rain,,80,Slight,,Urban/Undeveloped,Buildings/Heavily degraded,,25,No,,,,,,"BM52418, BM52618",3,High,Y,"4, 3, 3",BM52418 is skinny and has limping back right leg,1,BM52618 has face wound,No,,,,,,,,,,,,,,Foraging and on the move. RC seen skinny and back right leg limping. 2 individuals are skinny. 
