,ObservationID,ObservationTime,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,STUncertain,SM,SMUncertain,SF,SFUncertain,SU,SUUncertain,SA,SAUncertain,SAM,SAMUncertain,SAF,SAFUncertain,SAFP,SAFPUncertain,SAFL,SAFLUncertain,SAFEN,SAFENUncertain,SAU,SAUUncertain,SS,SSUncertain,SSM,SSMUncertain,SSF,SSFUncertain,SSU,SSUUncertain,SJ,SJUncertain,SJM,SJMUncertain,SJF,SJFUncertain,SJU,SJUUncertain,IT,ITUncertain,IM,IMUncertain,IF,IFUncertain,IU,IUUncertain,IA,IAUncertain,IAM,IAMUncertain,IAF,IAFUncertain,IAFP,IAFPUncertain,IAFL,IAFLUncertain,IAFEN,IAFENUncertain,IAU,IAUUncertain,IS,ISUncertain,ISM,ISMUncertain,ISF,ISFUncertain,ISU,ISUUncertain,IJ,IJUncertain,IJM,IJMUncertain,IJF,IJFUncertain,IJU,IJUUncertain,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
891,kub0808261550,2008-08-26 15:50:00,0.0,KUB,Pete Laver,Resting,8031610.0,312213.0,0.0,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,8 days 00:00:00.000000000,-11.0,2008.0,8.0
892,trs0808261620,2008-08-26 16:20:00,0.0,TRS,Pete Laver,Foraging,8032612.0,307325.0,0.0,building materials and slash behind bathrooms,some of the troop were resting at the given site; while the rest of the group were foraging at about 30m away,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,5 days 00:00:00.000000000,0.0,2008.0,8.0
895,csl0808261715,2008-08-26 17:15:00,0.0,CSL,Pete Laver,Foraging,8030260.0,303517.0,0.0,,light brown appears to be hyperactive!,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,0 days 00:00:00.000000000,4.0,2008.0,8.0
900,mow0808270855,2008-08-27 08:55:00,0.0,MOW,Pete Laver,Foraging,8032902.0,304851.0,0.0,,,7.0,0.0,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1 days 00:00:00.000000000,1.0,2008.0,8.0
906,csl0808271620,2008-08-27 16:20:00,0.0,CSL,Trainee CSL youth,Moving,8030240.0,303631.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,1 days 00:00:00.000000000,-5.0,2008.0,8.0
911,mow0808280750,2008-08-28 07:50:00,0.0,MOW,Pete Laver,Foraging,8032923.0,304763.0,0.0,between sterculia and baobab at lodge,,8.0,0.0,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,1.0,2008.0,8.0
913,csl0808280813,2008-08-28 08:13:00,0.0,CSL,Pete Laver,Moving,8030225.0,303543.0,0.0,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1 days 00:00:00.000000000,11.0,2008.0,8.0
917,mow0808280930,2008-08-28 09:30:00,0.0,MOW,Pete Laver,Foraging,8032965.0,304777.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0 days 00:00:00.000000000,0.0,2008.0,8.0
918,kub0808280950,2008-08-28 09:50:00,0.0,KUB,Pete Laver,Foraging,8031501.0,312093.0,0.0,,,14.0,1.0,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,2 days 00:00:00.000000000,7.0,2008.0,8.0
920,trs0808281057,2008-08-28 10:57:00,0.0,TRS,Pete Laver,Foraging,8032613.0,307278.0,0.0,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,2 days 00:00:00.000000000,-1.0,2008.0,8.0
922,csl0808281147,2008-08-28 11:47:00,0.0,CSL,Trainee CSL youth,Resting,8029952.0,303395.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0 days 00:00:00.000000000,-12.0,2008.0,8.0
924,csl0808281541,2008-08-28 15:41:00,0.0,CSL,Trainee CSL youth,Resting,8030232.0,303580.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,-1.0,2008.0,8.0
928,mow0808290745,2008-08-29 07:45:00,0.0,MOW,Pete Laver,Foraging,8032857.0,304798.0,0.0,,Note - putative den was boardwalk based on fresh tracks and feces.,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,0.0,2008.0,8.0
933,csl0808290838,2008-08-29 08:38:00,0.0,CSL,Trainee CSL youth,Resting,8030115.0,303594.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,1 days 00:00:00.000000000,2.0,2008.0,8.0
938,csl0808291527,2008-08-29 15:27:00,0.0,CSL,Trainee CSL youth,Resting,8030040.0,303423.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,0 days 00:00:00.000000000,0.0,2008.0,8.0
939,csl0808291531,2008-08-29 15:31:00,0.0,CSL,Trainee CSL youth,Moving,8029986.0,303388.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0 days 00:00:00.000000000,-8.0,2008.0,8.0
940,csl0808291557,2008-08-29 15:57:00,0.0,CSL,Trainee CSL youth,Moving,8030236.0,303602.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0 days 00:00:00.000000000,0.0,2008.0,8.0
941,csl0808291559,2008-08-29 15:59:00,0.0,CSL,Trainee CSL youth,Foraging,8030246.0,303560.0,0.0,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,0 days 00:00:00.000000000,12.0,2008.0,8.0
942,cgl0808291630,2008-08-29 16:30:00,0.0,CGL,Pete Laver,Foraging,8026247.0,296114.0,0.0,at kitchen,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,37 days 00:00:00.000000000,-46.0,2008.0,8.0
952,csl0808301508,2008-08-30 15:08:00,0.0,CSL,Trainee CSL youth,Moving,8030222.0,303533.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,1 days 00:00:00.000000000,-4.0,2008.0,8.0
953,csl0808301517,2008-08-30 15:17:00,0.0,CSL,Trainee CSL youth,Resting,8030249.0,303605.0,0.0,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0 days 00:00:00.000000000,-5.0,2008.0,8.0
954,csl0808301643,2008-08-30 16:43:00,0.0,CSL,Trainee CSL youth,Resting,8030123.0,303556.0,0.0,,,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,0 days 00:00:00.000000000,14.0,2008.0,8.0
960,trs0809011032,2008-09-01 10:32:00,0.0,TRS,Pete Laver,Foraging,8032576.0,307342.0,0.0,,two groups - on eof 4 and one of 7. haze from wild fires.,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,4 days 00:00:00.000000000,2.0,2008.0,9.0
961,mow0809011105,2008-09-01 11:05:00,0.0,MOW,Pete Laver,Resting,8032863.0,304832.0,0.0,,haze!,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,3 days 00:00:00.000000000,0.0,2008.0,9.0
969,kub0809020855,2008-09-02 08:55:00,0.0,KUB,Pete Laver,Denning,8031572.0,312105.0,0.0,,Note: extreme haze.  attempted and possibly successful mating with one female by two different males.,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,5 days 00:00:00.000000000,-2.0,2008.0,9.0
971,csl0809020913,2008-09-02 09:13:00,0.0,CSL,Trainee CSL youth,Resting,8030074.0,303527.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,3 days 00:00:00.000000000,3.0,2008.0,9.0
973,mow0809021025,2008-09-02 10:25:00,0.0,MOW,Pete Laver,Moving,8032888.0,304866.0,0.0,,No tail saw me first and ran into the culvert den - others ran into the other den.  Extreme haze,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,0.0,2008.0,9.0
974,csl0809021052,2008-09-02 10:52:00,0.0,CSL,Pete Laver,Moving,8030048.0,303470.0,0.0,,haze,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,0 days 00:00:00.000000000,-2.0,2008.0,9.0
975,csl0809021055,2008-09-02 10:55:00,0.0,CSL,Trainee CSL youth,Moving,8030060.0,303455.0,0.0,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0 days 00:00:00.000000000,-15.0,2008.0,9.0
977,csl0809021150,2008-09-02 11:50:00,0.0,CSL,Trainee CSL youth,Foraging,8030248.0,303588.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0 days 00:00:00.000000000,4.0,2008.0,9.0
978,csl0809021315,2008-09-02 13:15:00,0.0,CSL,Trainee CSL youth,Moving,8030259.0,303552.0,0.0,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,0 days 00:00:00.000000000,12.0,2008.0,9.0
979,csl0809021615,2008-09-02 16:15:00,0.0,CSL,Trainee CSL youth,Active,8030176.0,303551.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0 days 00:00:00.000000000,-14.0,2008.0,9.0
987,kub0809031030,2008-09-03 10:30:00,0.0,KUB,Pete Laver,Foraging,8031416.0,311921.0,0.0,,note: kubu fenceline waypoints were stored under GPS waypoints.,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,1 days 00:00:00.000000000,1.0,2008.0,9.0
990,csl0809031100,2008-09-03 11:00:00,0.0,CSL,Trainee CSL youth,Active,8030246.0,303589.0,0.0,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,1 days 00:00:00.000000000,7.0,2008.0,9.0
1001,csl0809040824,2008-09-04 08:24:00,0.0,CSL,Trainee CSL youth,Foraging,8030333.0,303515.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1 days 00:00:00.000000000,-12.0,2008.0,9.0
1002,kub0809040845,2008-09-04 08:45:00,0.0,KUB,Pete Laver,Resting,8031572.0,312096.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,1 days 00:00:00.000000000,8.0,2008.0,9.0
1003,csl0809040909,2008-09-04 09:09:00,0.0,CSL,Trainee CSL youth,Moving,8030226.0,303469.0,0.0,,,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,0 days 00:00:00.000000000,14.0,2008.0,9.0
1005,csl0809041042,2008-09-04 10:42:00,0.0,CSL,Trainee CSL youth,Moving,8030098.0,303440.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,-12.0,2008.0,9.0
1008,mow0809041625,2008-09-04 16:25:00,0.0,MOW,Pete Laver,Foraging,8032976.0,304823.0,0.0,,,8.0,0.0,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,2 days 00:00:00.000000000,0.0,2008.0,9.0
1015,mow0809051043,2008-09-05 10:43:00,0.0,MOW,Pete Laver,Foraging,8032833.0,304816.0,0.0,,10 faeces collected but because of the sprinkler I could not assess the freshness and threw them away.,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,0.0,2008.0,9.0
1017,csl0809051537,2008-09-05 15:37:00,0.0,CSL,Trainee CSL youth,Moving,8030046.0,303477.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,1 days 00:00:00.000000000,18.0,2008.0,9.0
1018,csl0809051655,2008-09-05 16:55:00,0.0,CSL,Trainee CSL youth,Moving,8030265.0,303569.0,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0 days 00:00:00.000000000,-19.0,2008.0,9.0
1019,csl0809060925,2008-09-06 09:25:00,0.0,CSL,Trainee CSL youth,Resting,8030059.0,303550.0,0.0,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,1 days 00:00:00.000000000,12.0,2008.0,9.0
1020,csl0809080800,2008-09-08 08:00:00,0.0,CSL,Trainee CSL youth,Active,8030216.0,303488.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2 days 00:00:00.000000000,-11.0,2008.0,9.0
1021,csl0809080801,2008-09-08 08:01:00,0.0,CSL,Trainee CSL youth,Moving,8030253.0,303507.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,4.0,2008.0,9.0
1022,csl0809080815,2008-09-08 08:15:00,0.0,CSL,Trainee CSL youth,Foraging,8030039.0,303433.0,0.0,,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,0 days 00:00:00.000000000,10.0,2008.0,9.0
1023,csl0809080915,2008-09-08 09:15:00,0.0,CSL,Trainee CSL youth,Foraging,8030016.0,303398.0,0.0,,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,0 days 00:00:00.000000000,0.0,2008.0,9.0
1024,csl0809081200,2008-09-08 12:00:00,0.0,CSL,Trainee CSL youth,Moving,8030237.0,303486.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,-10.0,2008.0,9.0
1029,csl0809090838,2008-09-09 08:38:00,0.0,CSL,Trainee CSL youth,Moving,8030031.0,303423.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,1 days 00:00:00.000000000,14.0,2008.0,9.0
1032,mow0809091102,2008-09-09 11:02:00,0.0,MOW,Pete Laver,Foraging,8032911.0,304880.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,4 days 00:00:00.000000000,0.0,2008.0,9.0
1037,mow0809100710,2008-09-10 07:10:00,0.0,MOW,Pete Laver,Foraging,8032844.0,304791.0,0.0,carport at rooms,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1 days 00:00:00.000000000,0.0,2008.0,9.0
1042,kub0809101055,2008-09-10 10:55:00,0.0,KUB,Pete Laver,Foraging,8031631.0,312387.0,0.0,campsite,raiding campsite: green + 2 yellow stripes; hips; diamond; hips and shoulders; spine; dark green; sides; radio collar.,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,6 days 00:00:00.000000000,-1.0,2008.0,9.0
1046,cch0809101720,2008-09-10 17:20:00,0.0,CCH,Pete Laver,Foraging,8027940.0,302608.0,0.0,,troop split into 2 groups.  1 group +/- 100m away from  other - 1 ind alarm called and a response was given by 1 ind 100m away. Brown collar + RC.,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,34 days 00:00:00.000000000,-8.0,2008.0,9.0
1052,cgl0809110836,2008-09-11 08:36:00,0.0,CGL,Pete Laver,Foraging,8026419.0,296166.0,0.0,below viewing deck,dark brown (possibly black) with one yellow stripe.,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,13 days 00:00:00.000000000,13.0,2008.0,9.0
1054,csl0809111123,2008-09-11 11:23:00,0.0,CSL,Pete Laver,Foraging,8030734.0,303713.0,0.0,Marina Lodge,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,2 days 00:00:00.000000000,-8.0,2008.0,9.0
1069,csl0809121100,2008-09-12 11:00:00,0.0,CSL,Pete Laver,Foraging,8031202.0,303991.0,0.0,,,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,1 days 00:00:00.000000000,6.0,2008.0,9.0
1080,mow0809131030,2008-09-13 10:30:00,0.0,MOW,Pete Laver,Foraging,8033075.0,305027.0,0.0,,playing with baboons - reciprocal chasing,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3 days 00:00:00.000000000,-5.0,2008.0,9.0
1081,csl0809131120,2008-09-13 11:20:00,0.0,CSL,Trainee CSL youth,Foraging,8030036.0,303451.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,1 days 00:00:00.000000000,2.0,2008.0,9.0
1082,csl0809131130,2008-09-13 11:30:00,0.0,CSL,Trainee CSL youth,Moving,8029980.0,303407.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0 days 00:00:00.000000000,-15.0,2008.0,9.0
1083,csl0809131200,2008-09-13 12:00:00,0.0,CSL,Trainee CSL youth,Foraging,8030253.0,303510.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0 days 00:00:00.000000000,1.0,2008.0,9.0
1084,csl0809131210,2008-09-13 12:10:00,0.0,CSL,Trainee CSL youth,Foraging,8030236.0,303636.0,0.0,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,0 days 00:00:00.000000000,7.0,2008.0,9.0
1085,csl0809131220,2008-09-13 12:20:00,0.0,CSL,Trainee CSL youth,Foraging,8030264.0,303484.0,0.0,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,0 days 00:00:00.000000000,-9.0,2008.0,9.0
1086,csl0809131443,2008-09-13 14:43:00,0.0,CSL,Trainee CSL youth,Resting,8030076.0,303546.0,0.0,,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,0 days 00:00:00.000000000,7.0,2008.0,9.0
1087,csl0809131458,2008-09-13 14:58:00,0.0,CSL,Trainee CSL youth,Resting,8030233.0,303558.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0 days 00:00:00.000000000,-4.0,2008.0,9.0
1088,csl0809131509,2008-09-13 15:09:00,0.0,CSL,Trainee CSL youth,Resting,8030253.0,303598.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0 days 00:00:00.000000000,-7.0,2008.0,9.0
1089,csl0809150920,2008-09-15 09:20:00,0.0,CSL,Trainee CSL youth,Resting,8030234.0,303604.0,0.0,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,2 days 00:00:00.000000000,13.0,2008.0,9.0
1090,csl0809151230,2008-09-15 12:30:00,0.0,CSL,Trainee CSL youth,Moving,8030252.0,303512.0,0.0,,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,0 days 00:00:00.000000000,7.0,2008.0,9.0
1091,csl0809151415,2008-09-15 14:15:00,0.0,CSL,Trainee CSL youth,Foraging,8030232.0,303558.0,0.0,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,0 days 00:00:00.000000000,-8.0,2008.0,9.0
1092,csl0809151555,2008-09-15 15:55:00,0.0,CSL,Trainee CSL youth,Resting,8030272.0,303580.0,0.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0 days 00:00:00.000000000,-5.0,2008.0,9.0
1102,csl0809170820,2008-09-17 08:20:00,0.0,CSL,Trainee CSL youth,Moving,8030144.0,303485.0,0.0,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,2 days 00:00:00.000000000,6.0,2008.0,9.0
1106,csl0809171112,2008-09-17 11:12:00,0.0,CSL,Trainee CSL youth,Resting,8030090.0,303445.0,0.0,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0 days 00:00:00.000000000,-10.0,2008.0,9.0
1107,csl0809171446,2008-09-17 14:46:00,0.0,CSL,Trainee CSL youth,Foraging,8030392.0,303549.0,0.0,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0 days 00:00:00.000000000,2.0,2008.0,9.0
1120,csl0809191130,2008-09-19 11:30:00,0.0,CSL,Trainee CSL youth,Moving,8030091.0,303478.0,0.0,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,2 days 00:00:00.000000000,8.0,2008.0,9.0
